🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight low_mood_audit positive_rate=0.956 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=low_mood_audit
[Step 026] user:low_mood_audit loss: 0.206 grad: 3.565 pred: 3.068 reward:  7.64 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_medium | Analytical Deep Dive | OpenAI’s New Sora Social Network Could Take Do
[Step 027] user:low_mood_audit loss: 0.271 grad: 3.574 pred: 3.011 reward:  7.20 eps:0.23 explore regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 7 ChatGPT Prompts To Build A $5,000 A Month Si
[Step 028] user:low_mood_audit loss: 0.198 grad: 3.030 pred: 3.077 reward:  7.65 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_bankinfosecurity | Analytical Deep Dive | OpenAI Launches AI Agent 'Operator' - BankInfo
[Step 029] user:low_mood_audit loss:15.671 grad:61.685 pred: 3.137 reward: 10.00 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_cined | Analytical Deep Dive | OpenAI’s Sora 2 Brings Realistic Physics, Audi
[Step 030] user:low_mood_audit loss: 6.730 grad:39.094 pred: 3.187 reward: 10.00 eps:0.23 exploit regret: 0.00 hn:0.810 hc:0.95 | source_ap_news | Analytical Deep Dive | OpenAI's Sora joins Meta in pushing AI-generat
[Step 031] user:low_mood_audit loss: 0.166 grad: 2.446 pred: 3.117 reward:  7.84 eps:0.23 explore regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | OpenAI’s GPT-5.3-Codex drops as Anthropic upgr
[Step 032] user:low_mood_audit loss: 0.541 grad: 1.943 pred: 3.159 reward:  7.61 eps:0.23 exploit regret:    - hn:0.813 hc:0.95 | source_mashable | Analytical Deep Dive | OpenAI's Sora 2, Meta's Vibes, Character.AI's 
[Step 033] user:low_mood_audit loss: 0.102 grad: 1.539 pred: 3.204 reward:  7.42 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_openai | Analytical Deep Dive | The Walt Disney Company and OpenAI reach landm
[Step 034] user:low_mood_audit loss: 0.092 grad: 1.509 pred: 3.208 reward:  7.83 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | source_send2press | Analytical Deep Dive | Fineshare Launches Vora AI – Now Instantly Upg
[Step 035] user:low_mood_audit loss:11.376 grad:55.609 pred: 3.222 reward: 10.00 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | OpenAI To Go — Open Source, News On Project St
[Step 036] user:low_mood_audit loss: 8.891 grad:41.072 pred: 3.192 reward: 10.00 eps:0.22 exploit regret:    - hn:0.819 hc:0.96 | source_cbc | Analytical Deep Dive | Consumer advocacy group urges OpenAI to pull v
[Step 037] user:low_mood_audit loss: 3.111 grad:22.195 pred: 3.170 reward:  7.12 eps:0.22 explore regret:    - hn:0.000 hc:0.00 | source_abc_news | Analytical Deep Dive | What parents need to know about Sora, the gene
[Step 038] user:low_mood_audit loss: 0.536 grad: 1.950 pred: 3.213 reward:  7.68 eps:0.22 exploit regret:    - hn:0.817 hc:0.95 | source_openai | Analytical Deep Dive | How Higgsfield turns simple ideas into cinemat
[Step 039] user:low_mood_audit loss: 3.501 grad:27.868 pred: 3.183 reward: 10.00 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | source_cnbc | Analytical Deep Dive | OpenAI's Sora 2 is putting safety and censorsh
[Step 040] user:low_mood_audit loss: 5.454 grad:31.825 pred: 3.186 reward: 10.00 eps:0.22 exploit regret: 0.00 hn:0.000 hc:0.00 | source_futurism | Analytical Deep Dive | OpenAI’s Sora Is in Serious Trouble - Futurism
[Step 041] user:low_mood_audit loss: 5.372 grad:26.855 pred: 3.151 reward: 10.00 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | source_msn | Analytical Deep Dive | Chinese startup PixVerse launches real-time AI
[Step 042] user:low_mood_audit loss: 2.305 grad:17.619 pred: 3.164 reward: 10.00 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | mlq.ai | Analytical Deep Dive | OpenAI Launches Sora AI Video App on Android i
[Step 043] user:low_mood_audit loss: 0.690 grad: 6.805 pred: 3.200 reward:  7.47 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | source_tech_wire_asia | Analytical Deep Dive | OpenAI launches GPT-5 in August, plus potentia
[Step 044] user:low_mood_audit loss: 3.728 grad:21.249 pred: 3.235 reward: 10.00 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | source_cxo_digitalpulse | Analytical Deep Dive | OpenAI Launches Sora 2, Its Next-Generation AI
[Step 045] user:low_mood_audit loss: 3.569 grad:22.283 pred: 3.332 reward: 10.00 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | source_tnglobal | Analytical Deep Dive | OpenAI launches AI video creation app Sora in 
[Step 046] user:low_mood_audit loss: 1.672 grad:10.064 pred: 3.242 reward: 10.00 eps:0.22 exploit regret:    - hn:0.000 hc:0.00 | understandingai.org | Analytical Deep Dive | Sora, OpenAI’s chart-topping AI video app, exp
[Step 047] user:low_mood_audit loss: 1.612 grad: 8.967 pred: 3.288 reward: 10.00 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | Anthropic launches enterprise ‘Agent Skills’ a
[Step 048] user:low_mood_audit loss: 1.609 grad:11.562 pred: 3.452 reward:  7.93 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_techcrunch | Analytical Deep Dive | OpenAI pauses Sora video generations of Martin
[Step 049] user:low_mood_audit loss: 4.910 grad:21.741 pred: 3.437 reward: 10.00 eps:0.21 explore regret:    - hn:0.000 hc:0.00 | source_esecurity_planet | Analytical Deep Dive | 77% of Employees Leak Data via ChatGPT, Report
[Step 050] user:low_mood_audit loss: 1.408 grad: 8.614 pred: 3.440 reward: 10.00 eps:0.21 explore regret: 0.00 hn:0.000 hc:0.00 | source_business_standard | Analytical Deep Dive | After Google, OpenAI is developing AI agents f
  └─ checkpoint step=50 rolling_reward_50=6.00 mean_regret_so_far=3.47
[Step 051] user:low_mood_audit loss: 1.778 grad:14.601 pred: 3.670 reward:  7.83 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_silicon_republic | Analytical Deep Dive | Can OpenAI’s Sora 2-powered social media app r
[Step 052] user:low_mood_audit loss: 1.763 grad:11.360 pred: 3.527 reward:  7.84 eps:0.21 explore regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | OpenAI Launches Codex Desktop App As Agentic A
[Step 053] user:low_mood_audit loss: 2.793 grad:16.319 pred: 3.603 reward:  7.17 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_india_today | Analytical Deep Dive | OpenAI launches Sora, its own Instagram-style 
[Step 054] user:low_mood_audit loss: 1.415 grad:12.834 pred: 3.614 reward:  7.95 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Samsung Bans ChatGPT Among Employees After Sen
[Step 055] user:low_mood_audit loss: 3.744 grad:20.485 pred: 3.591 reward:  7.38 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_techcrunch | Analytical Deep Dive | OpenAI is launching the Sora app, its own TikT
[Step 056] user:low_mood_audit loss: 3.876 grad:18.454 pred: 3.479 reward:  7.52 eps:0.21 exploit regret:    - hn:0.839 hc:0.97 | verdict.co.uk | Analytical Deep Dive | OpenAI backed autonomous driving startup Ghost
[Step 057] user:low_mood_audit loss: 4.669 grad:24.273 pred: 3.398 reward: 10.00 eps:0.21 exploit regret:    - hn:0.000 hc:0.00 | source_openai | Analytical Deep Dive | Introducing GPT-5.3-Codex - OpenAI
[Step 058] user:low_mood_audit loss: 4.015 grad:17.225 pred: 3.267 reward:  7.13 eps:0.21 explore regret:    - hn:0.000 hc:0.00 | source_times_of_india | Analytical Deep Dive | OpenAI CEO Sam Altman defends the launch of AI
[Step 059] user:low_mood_audit loss: 4.334 grad:18.278 pred: 3.193 reward: 10.00 eps:0.21 exploit regret:    - hn:0.823 hc:0.96 | sasktoday.ca | Analytical Deep Dive | Shelly Palmer: OpenAI launches a desktop app f
[Step 060] user:low_mood_audit loss: 3.628 grad:19.874 pred: 3.181 reward: 10.00 eps:0.21 exploit regret: 0.00 hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Turn These 3 ChatGPT Prompts Into Passive Inco
[Step 061] user:low_mood_audit loss: 1.064 grad: 6.581 pred: 3.062 reward:  7.74 eps:0.20 explore regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | OpenAI's new Codex app hits 1M+ downloads in f
[Step 062] user:low_mood_audit loss: 1.269 grad: 6.328 pred: 2.982 reward:  7.77 eps:0.20 explore regret:    - hn:0.000 hc:0.00 | source_gadgets_360 | Analytical Deep Dive | OpenAI’s ChatGPT Agent Launched, Can Perform C
[Step 063] user:low_mood_audit loss: 1.977 grad: 8.486 pred: 3.011 reward:  7.08 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_los_angeles_times | Analytical Deep Dive | Hollywood-AI battle deepens, as OpenAI and stu
[Step 064] user:low_mood_audit loss: 3.115 grad:11.449 pred: 2.989 reward:  7.14 eps:0.20 explore regret:    - hn:0.000 hc:0.00 | source_techspot | Analytical Deep Dive | OpenAI's Sora 2.0 can generate hyperrealistic 
[Step 065] user:low_mood_audit loss: 1.775 grad: 8.461 pred: 2.927 reward:  7.05 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_business_insider | Analytical Deep Dive | Sora thrilled me when it first came out. Now I
[Step 066] user:low_mood_audit loss: 3.214 grad:14.224 pred: 2.880 reward: 10.00 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_testingcatalog | Analytical Deep Dive | OpenAI launches GPT-5.3-Codex for software tas
[Step 067] user:low_mood_audit loss: 2.114 grad: 9.382 pred: 2.826 reward:  7.95 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_the_globe_and_mail | Analytical Deep Dive | Sora’s uncanny AI makes it difficult to distin
[Step 068] user:low_mood_audit loss: 1.477 grad: 8.264 pred: 2.784 reward:  7.19 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_marktechpost | Analytical Deep Dive | 4 Open-Source Alternatives to OpenAI’s $200/Mo
[Step 069] user:low_mood_audit loss: 4.295 grad:18.952 pred: 2.746 reward: 10.00 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_the_new_york_times | Analytical Deep Dive | Disney Agrees to Bring Its Characters to OpenA
[Step 070] user:low_mood_audit loss: 3.562 grad:14.122 pred: 2.670 reward: 10.00 eps:0.20 explore regret: 0.00 hn:0.000 hc:0.00 | source_mashable | Analytical Deep Dive | OpenAI's Sora 2 adds tools to prevent unauthor
[Step 071] user:low_mood_audit loss: 1.229 grad: 5.800 pred: 2.661 reward:  7.55 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | The 10 Best Venture Capitalist Blogs For Entre
[Step 072] user:low_mood_audit loss: 1.011 grad: 6.329 pred: 2.660 reward:  7.84 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_techcrunch | Analytical Deep Dive | OpenAI launches Codex, an AI coding agent, in 
[Step 073] user:low_mood_audit loss: 2.121 grad: 7.142 pred: 2.671 reward:  7.23 eps:0.20 exploit regret:    - hn:0.000 hc:0.00 | source_hardwarezone | Analytical Deep Dive | Anthropic launches Claude Opus 4.5 for coding,
[Step 074] user:low_mood_audit loss: 0.968 grad: 5.996 pred: 2.680 reward:  7.99 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_digital_watch_observatory | Analytical Deep Dive | OpenAI’s Sora app launches on Android - Digita
[Step 075] user:low_mood_audit loss: 5.098 grad:21.318 pred: 2.726 reward: 10.00 eps:0.19 explore regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | OpenCUA’s open source computer-use agents riva
[Step 076] user:low_mood_audit loss: 5.623 grad:20.526 pred: 2.734 reward: 10.00 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_mediaweek | Analytical Deep Dive | From Pikachu going to war to Wednesday Addams 
[Step 077] user:low_mood_audit loss: 0.780 grad: 5.363 pred: 2.777 reward:  7.44 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_the_verge | Analytical Deep Dive | OpenAI launches its Sora app on Android - The 
[Step 078] user:low_mood_audit loss: 1.562 grad: 8.322 pred: 2.807 reward:  7.12 eps:0.19 explore regret:    - hn:0.000 hc:0.00 | source_the_jerusalem_post | Analytical Deep Dive | OpenAI's Sora 2 brings AI-generated content to
[Step 079] user:low_mood_audit loss: 1.896 grad: 7.853 pred: 2.805 reward:  7.85 eps:0.19 explore regret:    - hn:0.000 hc:0.00 | source_nasdaq | Analytical Deep Dive | 6 Ways To Make Passive Income With Crypto in 2
[Step 080] user:low_mood_audit loss: 0.682 grad: 4.879 pred: 2.844 reward:  7.56 eps:0.19 exploit regret: 2.44 hn:0.000 hc:0.00 | source_times_of_india | Analytical Deep Dive | OpenAI launches new open-source AI models gpt-
[Step 081] user:low_mood_audit loss: 0.601 grad: 4.694 pred: 2.872 reward:  7.97 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | technologyreview.com | Analytical Deep Dive | The Download: inside the QuitGPT movement, and
[Step 082] user:low_mood_audit loss: 2.282 grad:13.594 pred: 2.959 reward:  7.05 eps:0.19 exploit regret:    - hn:0.799 hc:0.94 | source_adnews | Analytical Deep Dive | OpenAI launches social media app - AdNews
[Step 083] user:low_mood_audit loss: 0.411 grad: 3.925 pred: 2.971 reward:  7.35 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 5 ChatGPT Prompts To Earn $10,000/Month In Pas
[Step 084] user:low_mood_audit loss: 1.955 grad:13.444 pred: 2.977 reward:  7.16 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | source_the_wall_street_journal | Analytical Deep Dive | Exclusive | OpenAI’s New Sora Video Generator 
[Step 085] user:low_mood_audit loss: 5.193 grad:23.320 pred: 3.011 reward: 10.00 eps:0.19 exploit regret:    - hn:0.806 hc:0.95 | source_techcrunch | Analytical Deep Dive | OpenAI launches new macOS app for agentic codi
[Step 086] user:low_mood_audit loss: 0.285 grad: 3.279 pred: 3.043 reward:  7.81 eps:0.19 exploit regret:    - hn:0.000 hc:0.00 | theregister.com | Analytical Deep Dive | Microsoft lets companies set ChatGPT loose on 
[Step 087] user:low_mood_audit loss: 2.157 grad:15.897 pred: 3.088 reward:  7.98 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_bnn_bloomberg | Analytical Deep Dive | Disney to invest US$1 billion in OpenAI, licen
[Step 088] user:low_mood_audit loss: 0.210 grad: 2.750 pred: 3.101 reward:  7.96 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 14 Predictions For Venture Capital In 2024 - F
[Step 089] user:low_mood_audit loss: 4.811 grad:23.827 pred: 3.055 reward: 10.00 eps:0.18 explore regret:    - hn:0.000 hc:0.00 | source_momentum_works | Analytical Deep Dive | [New report] TikTok Shop doubles global GMV in
[Step 090] user:low_mood_audit loss: 0.275 grad: 2.883 pred: 3.074 reward:  7.43 eps:0.18 exploit regret: 2.57 hn:0.000 hc:0.00 | source_cnbc | Analytical Deep Dive | OpenAI's latest Sora video generator needs app
[Step 091] user:low_mood_audit loss: 2.063 grad:14.188 pred: 3.103 reward:  7.96 eps:0.18 explore regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | OpenAI launches a Codex desktop app for macOS 
[Step 092] user:low_mood_audit loss: 0.238 grad: 2.516 pred: 3.111 reward:  7.33 eps:0.18 explore regret:    - hn:0.000 hc:0.00 | source_ppc_land | Analytical Deep Dive | xAI sues former engineer for allegedly stealin
[Step 093] user:low_mood_audit loss: 5.366 grad:28.962 pred: 3.168 reward: 10.00 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_pcmag | Analytical Deep Dive | Just How Good Is Sora 2 at Faking Reality? I P
[Step 094] user:low_mood_audit loss: 0.166 grad: 2.019 pred: 3.166 reward:  7.58 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | The Future Of Venture Capital: Strategies That
[Step 095] user:low_mood_audit loss: 0.204 grad: 2.180 pred: 3.155 reward:  7.25 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | macrumors.com | Analytical Deep Dive | Anthropic's Claude Gets More Free Features as 
[Step 096] user:low_mood_audit loss: 0.191 grad: 2.258 pred: 3.156 reward:  7.98 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_marktechpost | Analytical Deep Dive | OpenAI Just Launched GPT-5.3-Codex: A Faster A
[Step 097] user:low_mood_audit loss: 6.685 grad:32.914 pred: 3.188 reward: 10.00 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_mashable | Analytical Deep Dive | Beware phony Sora apps on the Apple App Store 
[Step 098] user:low_mood_audit loss: 0.174 grad: 2.091 pred: 3.182 reward:  7.80 eps:0.18 exploit regret:    - hn:0.000 hc:0.00 | source_the_verge | Analytical Deep Dive | OpenAI’s Sora has already hit more than 1 mill
[Step 099] user:low_mood_audit loss: 4.317 grad:25.413 pred: 3.196 reward: 10.00 eps:0.18 explore regret:    - hn:0.000 hc:0.00 | breitbart.com | Analytical Deep Dive | OpenAI Fires Executive over Sexual Discriminat
[Step 100] user:low_mood_audit loss: 0.207 grad: 2.359 pred: 3.185 reward:  8.00 eps:0.17 explore regret: 2.00 hn:0.000 hc:0.00 | source_cme_group | Analytical Deep Dive | SOL, XRP Options Extend Market Reach of Crypto
  └─ checkpoint step=100 rolling_reward_50=8.20 mean_regret_so_far=2.43
[Step 101] user:low_mood_audit loss: 2.329 grad:17.086 pred: 3.236 reward:  7.83 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_the_globe_and_mail | Analytical Deep Dive | OpenAI launches Sora, an AI app that generates
[Step 102] user:low_mood_audit loss: 0.155 grad: 2.006 pred: 3.230 reward:  7.89 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_electronic_frontier_foundation | Analytical Deep Dive | Hundreds of Tech Companies Want to Cash In on 
[Step 103] user:low_mood_audit loss: 6.967 grad:32.766 pred: 3.220 reward: 10.00 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_little_black_book_lbbonline | Analytical Deep Dive | What Sora 2 Means for the Future of Filmmaking
[Step 104] user:low_mood_audit loss: 9.359 grad:37.566 pred: 3.225 reward: 10.00 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_geeky_gadgets | Analytical Deep Dive | 7 ChatGPT Hacks to Make ChatGPT Your Personal 
[Step 105] user:low_mood_audit loss: 3.876 grad:28.480 pred: 3.266 reward: 10.00 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Building Venture Capital That’s More Inclusive
[Step 106] user:low_mood_audit loss: 0.215 grad: 2.547 pred: 3.262 reward:  7.24 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | A Tale Of Two Cities In Venture Capital - Forb
[Step 107] user:low_mood_audit loss: 3.505 grad:17.796 pred: 3.255 reward:  7.16 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_citybiz | Analytical Deep Dive | Qloud Games Raises $5M Seed Round Led by BITKR
[Step 108] user:low_mood_audit loss: 2.208 grad:14.051 pred: 3.278 reward:  7.99 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | LP Predictions For Venture Capital In 2025 - F
[Step 109] user:low_mood_audit loss: 2.412 grad:15.408 pred: 3.236 reward: 10.00 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_times_of_india | Analytical Deep Dive | OpenAI launches Codex desktop app to power nex
[Step 110] user:low_mood_audit loss: 0.475 grad: 4.547 pred: 3.247 reward:  7.97 eps:0.17 exploit regret: 2.03 hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | Writer launches a 'super agent' that actually 
[Step 111] user:low_mood_audit loss: 0.422 grad: 4.471 pred: 3.280 reward:  7.98 eps:0.17 exploit regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | Anthropic's Claude Opus 4.6 brings 1M token co
[Step 112] user:low_mood_audit loss: 2.889 grad:12.521 pred: 3.226 reward:  7.06 eps:0.17 explore regret:    - hn:0.000 hc:0.00 | source_cnbc | Analytical Deep Dive | We tested OpenAI’s Sora 2 video generator to f
[Step 113] user:low_mood_audit loss: 4.553 grad:19.666 pred: 3.258 reward: 10.00 eps:0.17 explore regret:    - hn:0.000 hc:0.00 | source_big_news_network_com | Analytical Deep Dive | Dubai Chamber of Digital Economy organises on 
[Step 114] user:low_mood_audit loss: 0.567 grad: 4.854 pred: 3.240 reward:  7.57 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_times_of_india | Analytical Deep Dive | ChatGPT maker OpenAI is readying an AI agent t
[Step 115] user:low_mood_audit loss: 3.142 grad:15.713 pred: 3.282 reward:  7.13 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | Why 2025 Looks Like A Big Year For Venture Cap
[Step 116] user:low_mood_audit loss: 2.103 grad:11.249 pred: 3.258 reward:  7.45 eps:0.16 exploit regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 8 Female Venture Capital Investors To Watch In
