🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight gamer positive_rate=0.206 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=gamer
[Step 032] user:gamer loss: 6.251 grad:20.785 pred: 0.097 reward:  7.93 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_daily_mail | Sarcastic Takedown | Battle of the beige influencers! Inside the 'm
[Step 033] user:gamer loss: 7.433 grad:19.809 pred: 0.708 reward: 10.00 eps:0.23 exploit regret:    - hn:0.372 hc:0.66 | source_mashable | Sarcastic Takedown | 'Alpha males' and the Manosphere: Stop listeni
[Step 034] user:gamer loss: 4.945 grad: 8.456 pred: 1.103 reward: 10.00 eps:0.22 exploit regret:    - hn:0.478 hc:0.74 | source_times_of_india | Sarcastic Takedown | Tom Brady's ex-wife Gisele Bündchen deepfake s
[Step 035] user:gamer loss: 2.689 grad: 7.351 pred: 0.659 reward:  7.06 eps:0.22 exploit regret:    - hn:0.370 hc:0.66 | theguardian.com | Clickbait Shocker | Mysterious bags of ‘hazardous’ materials appea
[Step 036] user:gamer loss: 4.634 grad:11.590 pred: 0.919 reward: 10.00 eps:0.22 exploit regret:    - hn:0.438 hc:0.71 | dailymail.co.uk | Dystopian Warning | King of the desert! Prince William visits spec
[Step 037] user:gamer loss: 1.915 grad: 6.315 pred: 1.212 reward:  4.29 eps:0.22 explore regret:    - hn:0.524 hc:0.77 | outsideonline.com | Dystopian Warning | Rescuers Issue Warning After a Wire Clipped Sk
[Step 038] user:gamer loss: 3.003 grad: 7.629 pred: 1.324 reward:  7.55 eps:0.22 exploit regret:    - hn:0.546 hc:0.79 | androidauthority.com | Clickbait Shocker | Massive Galaxy S26 series spec leak leaves not
[Step 039] user:gamer loss: 3.967 grad: 7.668 pred: 1.442 reward: 10.00 eps:0.22 exploit regret:    - hn:0.573 hc:0.81 | source_unherd | Dystopian Warning | Why women fear cancel culture more than men - 
[Step 040] user:gamer loss: 2.044 grad: 8.374 pred: 1.650 reward:  3.53 eps:0.22 exploit regret: 6.47 hn:0.619 hc:0.84 | source_hello_partner | Dystopian Warning | LinkedIn Live: Cancel Culture & Crisis Managem
[Step 041] user:gamer loss: 4.211 grad: 8.797 pred: 1.643 reward: 10.00 eps:0.22 exploit regret:    - hn:0.618 hc:0.84 | euronews.com | Clickbait Shocker | Could inflation in Europe make an unexpected c
[Step 042] user:gamer loss: 2.402 grad: 6.489 pred: 1.732 reward:  2.29 eps:0.22 exploit regret:    - hn:0.638 hc:0.85 | epigram.org.uk | Dystopian Warning | Opinion | AI-generated ‘deepfakes’ are the new
[Step 043] user:gamer loss: 3.546 grad: 9.408 pred: 1.709 reward: 10.00 eps:0.22 exploit regret:    - hn:0.633 hc:0.85 | source_the_well_news | Dystopian Warning | Dangerous Social Media Trends Leading to Injur
[Step 044] user:gamer loss: 2.227 grad: 8.086 pred: 1.710 reward:  4.14 eps:0.22 exploit regret:    - hn:0.634 hc:0.85 | source_global_times | Dystopian Warning | China’s seed security not threatened by Russia
[Step 045] user:gamer loss: 2.078 grad: 6.828 pred: 1.684 reward:  4.84 eps:0.22 exploit regret:    - hn:0.628 hc:0.84 | source_federal_news_network | Dystopian Warning | Technical debt puts federal cybersecurity at r
[Step 046] user:gamer loss: 2.884 grad: 8.361 pred: 1.647 reward: 10.00 eps:0.22 exploit regret:    - hn:0.620 hc:0.84 | source_infosecurity_magazine | Dystopian Warning | China’s Social Credit System Raises Data Secur
[Step 047] user:gamer loss: 1.765 grad: 5.826 pred: 1.646 reward:  4.10 eps:0.21 exploit regret:    - hn:0.620 hc:0.84 | source_concordia_university | Dystopian Warning | An alumna’s take on what instigated Canada’s h
[Step 048] user:gamer loss: 1.769 grad: 6.194 pred: 1.552 reward:  3.75 eps:0.21 exploit regret:    - hn:0.600 hc:0.82 | source_afr | Dystopian Warning | ASX warned of further punishment if risk faili
[Step 049] user:gamer loss: 1.354 grad: 6.135 pred: 1.470 reward:  4.40 eps:0.21 explore regret:    - hn:0.582 hc:0.81 | zerohedge.blogspot.com | Dystopian Warning | The Goldman VaR Exemption Question Escalates
[Step 050] user:gamer loss: 4.575 grad:13.583 pred: 1.364 reward: -4.73 eps:0.21 explore regret:14.73 hn:0.555 hc:0.80 | source_the_courier_mail | Dystopian Warning | The perfect storm of market cycles is collidin
  └─ checkpoint step=50 rolling_reward_50=2.01 mean_regret_so_far=10.29
[Step 051] user:gamer loss: 1.626 grad: 7.162 pred: 1.230 reward:  7.02 eps:0.21 exploit regret:    - hn:0.522 hc:0.77 | source_gamersnexus | Sarcastic Takedown | THE NVIDIA AI GPU BLACK MARKET | Investigating
[Step 052] user:gamer loss: 1.317 grad: 6.369 pred: 1.184 reward:  7.13 eps:0.21 explore regret:    - hn:0.510 hc:0.76 | source_the_washington_post | Sarcastic Takedown | Perspective | Power doesn’t corrupt. It just e
[Step 053] user:gamer loss: 4.235 grad:12.912 pred: 1.158 reward:  7.61 eps:0.21 exploit regret:    - hn:0.504 hc:0.76 | source_discoverestevan | Hype Beast | Tariff breakthrough restores optimism for puls
[Step 054] user:gamer loss:11.652 grad:31.440 pred: 1.130 reward: 10.00 eps:0.21 exploit regret:    - hn:0.495 hc:0.75 | source_the_express_tribune | Hype Beast | Govt makes trade breakthrough with Iran - The 
[Step 055] user:gamer loss: 8.268 grad:21.969 pred: 1.160 reward:  8.14 eps:0.21 exploit regret:    - hn:0.502 hc:0.76 | source_international_institute_for_sustainable_development | Angry Rant | Why the Cost of Carbon Capture and Storage Rem
[Step 056] user:gamer loss: 1.486 grad: 5.474 pred: 1.226 reward:  6.84 eps:0.21 exploit regret:    - hn:0.517 hc:0.77 | source_digitimes | Hype Beast | Apple integrates AI agents into Xcode to boost
[Step 057] user:gamer loss: 1.113 grad:28.220 pred: 1.305 reward:  2.91 eps:0.21 exploit regret:    - hn:0.527 hc:0.78 | inhabitat.com | Dystopian Warning | Simple uses of jute mesh to tame soil erosion
[Step 058] user:gamer loss: 1.604 grad: 4.848 pred: 1.329 reward:  6.82 eps:0.21 explore regret:    - hn:0.536 hc:0.78 | cointelegraph.com | Sarcastic Takedown | Google Cloud flags North Korea-linked crypto m
[Step 059] user:gamer loss: 3.668 grad: 8.551 pred: 1.280 reward:  7.68 eps:0.21 exploit regret:    - hn:0.527 hc:0.78 | source_the_world_economic_forum | Hype Beast | This CO2 ventilation breakthrough could help b
[Step 060] user:gamer loss: 3.429 grad: 6.838 pred: 1.350 reward:  7.50 eps:0.21 exploit regret: 2.50 hn:0.539 hc:0.78 | source_nairametrics | Hype Beast | Dangote Boosts Abuja Trade Fair - Nairametrics
[Step 061] user:gamer loss: 1.383 grad:23.811 pred: 1.378 reward:  2.35 eps:0.20 explore regret:    - hn:0.553 hc:0.79 | forbes.com | Dystopian Warning | The AI Skills Gap Is Becoming A Real Business 
[Step 062] user:gamer loss:11.397 grad:57.855 pred: 1.393 reward: 10.00 eps:0.20 explore regret:    - hn:0.558 hc:0.80 | nationalreview.com | Dystopian Warning | Seattle Won the Super Bowl, but Its Economy Ha
[Step 063] user:gamer loss:11.321 grad:52.851 pred: 1.423 reward:  7.88 eps:0.20 exploit regret:    - hn:0.558 hc:0.80 | eurogamer.net | Clickbait Shocker | Black Myth: Zhong Kui gets a new in-engine vid
[Step 064] user:gamer loss: 0.984 grad:18.404 pred: 1.389 reward:  4.87 eps:0.20 explore regret:    - hn:0.556 hc:0.80 | atlasobscura.com | Dystopian Warning | The Witch’s Grave in Katy, Texas
[Step 065] user:gamer loss: 8.391 grad:21.530 pred: 1.354 reward: 10.00 eps:0.20 exploit regret:    - hn:0.553 hc:0.79 | source_enlit_world | Hype Beast | Transnet BW develops new hybrid grid booster t
[Step 066] user:gamer loss: 3.123 grad: 6.560 pred: 1.441 reward:  7.34 eps:0.20 exploit regret:    - hn:0.567 hc:0.80 | source_latinamerican_post | Hype Beast | Amazon’s Lost Civilizations Finally Uncovered 
[Step 067] user:gamer loss: 1.784 grad: 4.845 pred: 1.513 reward:  6.92 eps:0.20 exploit regret:    - hn:0.577 hc:0.81 | source_pr_newswire | Hype Beast | Datasea Announces Breakthrough in Acoustic-Dri
[Step 068] user:gamer loss: 3.832 grad: 7.386 pred: 1.488 reward: 10.00 eps:0.20 exploit regret:    - hn:0.574 hc:0.81 | source_financial_times | Hype Beast | Record $668mn loan boosts hopes for Miami’s lu
[Step 069] user:gamer loss: 1.574 grad: 5.044 pred: 1.470 reward:  7.13 eps:0.20 exploit regret:    - hn:0.576 hc:0.81 | source_fox_business | Sarcastic Takedown | Elizabeth Holmes' $4.5B fortune, luxury lifest
[Step 070] user:gamer loss: 1.432 grad: 5.054 pred: 1.465 reward:  6.95 eps:0.20 explore regret: 3.05 hn:0.576 hc:0.81 | source_scitechdaily | Sarcastic Takedown | Newly Discovered Marine Fungus Attacks and Kil
[Step 071] user:gamer loss: 3.075 grad: 7.384 pred: 1.490 reward:  7.98 eps:0.20 exploit regret:    - hn:0.580 hc:0.81 | source_european_medical_journal | Hype Beast | Potential breakthrough in brain-computer inter
[Step 072] user:gamer loss: 1.656 grad: 4.483 pred: 1.590 reward:  3.25 eps:0.20 exploit regret:    - hn:0.604 hc:0.83 | source_strategic_energy_europe | Angry Rant | Greece implements a new framework to boost 4.7
[Step 073] user:gamer loss: 2.985 grad: 8.233 pred: 1.487 reward:  7.60 eps:0.20 exploit regret:    - hn:0.579 hc:0.81 | source_the_express_tribune | Hype Beast | Meta’s Brain Typing Breakthrough: A $2 Million
[Step 074] user:gamer loss: 2.964 grad: 8.426 pred: 1.516 reward:  7.93 eps:0.19 exploit regret:    - hn:0.591 hc:0.82 | source_coindesk | Hype Beast | ProShares Bitcoin Futures ETF Wins ‘First Move
[Step 075] user:gamer loss: 2.680 grad: 5.857 pred: 1.645 reward:  7.40 eps:0.19 explore regret:    - hn:0.621 hc:0.84 | source_tv_brics | Hype Beast | China unveils breakthrough in brain-computer i
[Step 076] user:gamer loss: 5.158 grad:12.304 pred: 1.625 reward: -4.55 eps:0.19 exploit regret:    - hn:0.612 hc:0.83 | source_battlefordsnow | Somber Reflection | China overturns death sentence for Canadian Ro
[Step 077] user:gamer loss: 3.941 grad: 8.701 pred: 1.701 reward: 10.00 eps:0.19 exploit regret:    - hn:0.629 hc:0.84 | source_south_china_morning_post | Hype Beast | China eyes US$2 billion food security boost fr
[Step 078] user:gamer loss: 1.437 grad: 4.800 pred: 1.700 reward:  7.07 eps:0.19 explore regret:    - hn:0.631 hc:0.84 | 9to5mac.com | Hype Beast | Apple @ Work: Platform SSO is the single most 
[Step 079] user:gamer loss: 1.486 grad: 5.373 pred: 1.726 reward:  6.68 eps:0.19 explore regret:    - hn:0.634 hc:0.85 | source_architectural_record | Hype Beast | Zaha Hadid Architects’ King Abdullah Financial
[Step 080] user:gamer loss: 2.399 grad: 5.247 pred: 1.785 reward:  7.39 eps:0.19 exploit regret: 2.61 hn:0.648 hc:0.85 | source_chapman_newsroom | Hype Beast | Breakthrough Research Offers Game-Changing Pot
[Step 081] user:gamer loss: 4.377 grad:11.115 pred: 1.782 reward: 10.00 eps:0.19 exploit regret:    - hn:0.647 hc:0.85 | source_homes_and_gardens | Hype Beast | Front door trends – 7 stylish ideas to boost c
[Step 082] user:gamer loss: 1.745 grad: 4.398 pred: 1.852 reward:  3.84 eps:0.19 exploit regret:    - hn:0.661 hc:0.86 | source_nasdaq | Angry Rant | How QUBT Leverages M&A to Accelerate Quantum C
[Step 083] user:gamer loss: 1.737 grad: 4.914 pred: 1.837 reward:  4.37 eps:0.19 exploit regret:    - hn:0.659 hc:0.86 | source_the_business_times | Angry Rant | Sembcorp partners EMA to test energy-storage s
[Step 084] user:gamer loss: 0.715 grad: 7.582 pred: 1.813 reward:  7.12 eps:0.19 exploit regret:    - hn:0.654 hc:0.86 | source_eurasia_review | Dystopian Warning | South Korea’s Constitutional Crisis: Challenge
[Step 085] user:gamer loss:11.773 grad:49.265 pred: 1.846 reward: 10.00 eps:0.19 exploit regret:    - hn:0.659 hc:0.86 | dailymail.co.uk | Sarcastic Takedown | Controversial French duo snatch gold from Team
[Step 086] user:gamer loss:19.722 grad:60.869 pred: 1.857 reward: 10.00 eps:0.19 exploit regret:    - hn:0.663 hc:0.86 | cointelegraph.com | Sarcastic Takedown | US fines Paxful $4M for moving funds tied to t
[Step 087] user:gamer loss: 0.732 grad: 5.690 pred: 1.865 reward:  6.80 eps:0.18 exploit regret:    - hn:0.665 hc:0.87 | forbes.com | Hype Beast | Netflix’s Best New Movie Has A Record 97% Rott
[Step 088] user:gamer loss: 3.138 grad:24.173 pred: 1.904 reward:  7.27 eps:0.18 exploit regret:    - hn:0.670 hc:0.87 | theguardian.com | Sarcastic Takedown | Tarique Rahman promises era of clean politics 
[Step 089] user:gamer loss: 8.411 grad:35.760 pred: 1.920 reward: 10.00 eps:0.18 explore regret:    - hn:0.676 hc:0.87 | androidauthority.com | Hype Beast | Upgrade your content creation with the DJI Mic
[Step 090] user:gamer loss: 1.878 grad:13.223 pred: 1.950 reward:  4.83 eps:0.18 exploit regret: 5.17 hn:0.681 hc:0.88 | source_australian_broadcasting_corporation | Dystopian Warning | 'Time of trepidation' as bird flu risk increas
[Step 091] user:gamer loss: 2.262 grad:11.737 pred: 1.948 reward:  2.84 eps:0.18 explore regret:    - hn:0.681 hc:0.88 | source_bbc | Dystopian Warning | Alexander Rogers: Student suicide prompts 'can
[Step 092] user:gamer loss: 1.265 grad: 4.837 pred: 1.936 reward:  6.64 eps:0.18 explore regret:    - hn:0.679 hc:0.87 | source_quantum_zeitgeist | Hype Beast | Three-Site Kitaev Chain Boosts Majorana Zero M
[Step 093] user:gamer loss:10.720 grad:32.048 pred: 1.939 reward: -4.59 eps:0.18 exploit regret:    - hn:0.679 hc:0.87 | engadget.com | Somber Reflection | US judicial body removes climate research pape
[Step 094] user:gamer loss: 2.893 grad:14.833 pred: 1.912 reward:  7.65 eps:0.18 exploit regret:    - hn:0.674 hc:0.87 | source_investopedia | Sarcastic Takedown | Enron Scandal and Accounting Fraud: What Happe
[Step 095] user:gamer loss: 6.358 grad:15.007 pred: 1.899 reward: -5.12 eps:0.18 exploit regret:    - hn:0.671 hc:0.87 | source_the_breakthrough_institute | Hype Beast | Congress Punts on the Farm Bill (Again), Let’s
[Step 096] user:gamer loss: 4.447 grad:10.050 pred: 1.890 reward: 10.00 eps:0.18 exploit regret:    - hn:0.670 hc:0.87 | source_moneycontrol | Hype Beast | Crypto.com CEO acquires AI.com in record-break
[Step 097] user:gamer loss: 7.259 grad:13.995 pred: 1.925 reward: 10.00 eps:0.18 exploit regret:    - hn:0.677 hc:0.87 | source_crypto_adventure | Hype Beast | KeepKey Wallet Review 2026: The Minimalist Har
[Step 098] user:gamer loss: 2.370 grad: 4.934 pred: 1.910 reward:  7.29 eps:0.18 exploit regret:    - hn:0.673 hc:0.87 | source_cambridge_network | Hype Beast | China’s Neurotechnology breakthrough: A new er
[Step 099] user:gamer loss: 4.272 grad: 7.798 pred: 1.929 reward: 10.00 eps:0.18 explore regret:    - hn:0.677 hc:0.87 | source_archdaily | Hype Beast | This Public Transit Series Celebrates Moscow's
[Step 100] user:gamer loss: 2.041 grad: 4.918 pred: 1.967 reward:  7.07 eps:0.17 explore regret: 2.93 hn:0.684 hc:0.88 | gamespot.com | Hype Beast | StarCraft Shooter Reportedly In Works At Arc R
  └─ checkpoint step=100 rolling_reward_50=6.64 mean_regret_so_far=6.77
[Step 101] user:gamer loss: 2.742 grad: 3.907 pred: 2.013 reward:  7.64 eps:0.17 exploit regret:    - hn:0.691 hc:0.88 | source_forbes | Hype Beast | Musk’s Xs Merge, Apple Acquires Q AI, Google’s
[Step 102] user:gamer loss: 2.485 grad: 4.437 pred: 2.007 reward:  7.35 eps:0.17 exploit regret:    - hn:0.690 hc:0.88 | theguardian.com | Clickbait Shocker | Mexico moves to combat pollution following Gua
[Step 103] user:gamer loss: 2.153 grad: 4.724 pred: 2.027 reward:  3.52 eps:0.17 exploit regret:    - hn:0.694 hc:0.88 | source_iol | Angry Rant | Renewable energy surge highlights urgent need 
[Step 104] user:gamer loss: 5.455 grad: 9.351 pred: 2.028 reward: 10.00 eps:0.17 exploit regret:    - hn:0.693 hc:0.88 | source_harvard_gazette | Hype Beast | Why new qubit may give ultrafast quantum compu
[Step 105] user:gamer loss: 2.040 grad: 7.107 pred: 2.042 reward:  4.90 eps:0.17 exploit regret:    - hn:0.696 hc:0.88 | source_ideastream | Angry Rant | 'The solution may come from the average one of
[Step 106] user:gamer loss: 3.738 grad: 5.094 pred: 2.069 reward: 10.00 eps:0.17 exploit regret:    - hn:0.701 hc:0.89 | source_ani_news | Hype Beast | GIBC signs strategic MoU with Maharashtra to b
[Step 107] user:gamer loss: 2.751 grad: 3.951 pred: 2.098 reward:  7.62 eps:0.17 exploit regret:    - hn:0.705 hc:0.89 | source_the_news_international | Hype Beast | Can Neuralink restore full body functionality?
[Step 108] user:gamer loss: 2.228 grad: 4.516 pred: 2.095 reward:  6.60 eps:0.17 exploit regret:    - hn:0.705 hc:0.89 | source_geekwire | Hype Beast | Qualterra raises $4.5M to turn organic waste i
[Step 109] user:gamer loss: 6.087 grad:16.090 pred: 2.098 reward: 10.00 eps:0.17 exploit regret:    - hn:0.705 hc:0.89 | polygon.com | Angry Rant | Epstein island Pokémon Go stop removed after f
[Step 110] user:gamer loss: 2.049 grad: 4.912 pred: 2.113 reward:  6.68 eps:0.17 exploit regret: 3.32 hn:0.708 hc:0.89 | fiercebiotech.com | Hype Beast | <a href="https://www.fiercebiotech.com/biotech
[Step 111] user:gamer loss: 4.284 grad:15.624 pred: 2.145 reward: 10.00 eps:0.17 exploit regret:    - hn:0.709 hc:0.89 | statnews.com | Hype Beast | STAT+: Humana projects sharply lower earnings 
[Step 112] user:gamer loss: 2.120 grad: 6.646 pred: 2.152 reward:  4.23 eps:0.17 explore regret:    - hn:0.715 hc:0.90 | 9to5mac.com | Angry Rant | ‘Dystopian’ Ring Search Party feature sparks p
[Step 113] user:gamer loss: 1.780 grad: 6.083 pred: 2.161 reward:  4.23 eps:0.17 explore regret:    - hn:0.717 hc:0.90 | theguardian.com | Angry Rant | Here’s why US household energy bills are soari
[Step 114] user:gamer loss: 2.230 grad: 5.844 pred: 2.149 reward:  3.81 eps:0.16 exploit regret:    - hn:0.714 hc:0.89 | globalelr.com | Angry Rant | China’s Environmental Social Credit System Enc
[Step 115] user:gamer loss: 2.408 grad: 6.315 pred: 2.130 reward:  7.91 eps:0.16 exploit regret:    - hn:0.712 hc:0.89 | source_whalesbook | Hype Beast | NCC: JJM Payments Boost Outlook, Q4 Execution 
[Step 116] user:gamer loss: 1.885 grad: 6.534 pred: 2.119 reward:  7.47 eps:0.16 exploit regret:    - hn:0.710 hc:0.89 | source_creative_bloq | Clickbait Shocker | This Kith x Capcom collaboration is the most u
[Step 117] user:gamer loss: 4.204 grad:11.845 pred: 2.116 reward: 10.00 eps:0.16 exploit regret:    - hn:0.709 hc:0.89 | source_popular_mechanics | Hype Beast | This Chip Could Be the Massive Breakthrough We
[Step 118] user:gamer loss: 1.560 grad: 5.494 pred: 2.124 reward:  6.77 eps:0.16 exploit regret:    - hn:0.710 hc:0.89 | source_global_times | Hype Beast | Chinese scientists make breakthrough in BCI-as
[Step 119] user:gamer loss: 7.122 grad:21.616 pred: 2.168 reward: 10.00 eps:0.16 exploit regret:    - hn:0.714 hc:0.89 | source_ee_times_asia | Hype Beast | Microsoft Unveils Quantum Computing Breakthrou
[Step 120] user:gamer loss: 8.912 grad:23.747 pred: 2.142 reward: -5.06 eps:0.16 exploit regret:15.06 hn:0.713 hc:0.89 | source_buzzfeed | Analytical Deep Dive | 31 Of The Best Under-Desk Treadmills So You'll
[Step 121] user:gamer loss: 2.251 grad: 7.461 pred: 2.123 reward:  3.25 eps:0.16 explore regret:    - hn:0.710 hc:0.89 | source_ancient_origins | Dystopian Warning | LiDAR Unveils Hidden Landscape of Lost Pre-His
[Step 122] user:gamer loss: 1.821 grad: 6.974 pred: 2.122 reward:  7.24 eps:0.16 exploit regret:    - hn:0.710 hc:0.89 | source_eunews | Hype Beast | EIB and STMicroelectronics sign 1‑billion‑euro
[Step 123] user:gamer loss: 5.963 grad:15.443 pred: 2.116 reward: 10.00 eps:0.16 exploit regret:    - hn:0.708 hc:0.89 | source_tribune_india | Hype Beast | GIBC signs strategic MoU with Maharashtra to b
